证监会行业门类代码_Csrciccd1,证监会行业门类名称_Csrcicnm1,日期_Date,Alpha_流通市值加权_Alpha_tmv,市场溢酬因子,R方_流通市值加权_R2_tmv,调整R方_流通市值加权_R2adj_tmv,Alpha_总市值加权_Alpha_mc,风险因子_总市值加权_Beta_mc,R方_总市值加权_R2_mc,调整R方_总市值加权_R2adj_mc
A,农、林、牧、渔业,2010/12/31,0.00122972,1.0527,0.568678,0.566881,0.00123613,1.0578,0.589222,0.58751
A,农、林、牧、渔业,2011/12/30,-0.00019418,1.0634,0.652028,0.65059,-0.0001463,1.1087,0.684412,0.683107
A,农、林、牧、渔业,2012/12/31,-0.00039626,1.2275,0.692377,0.691101,-0.0003792,1.2535,0.759433,0.758435
A,农、林、牧、渔业,2013/12/31,0.00044848,1.1096,0.488001,0.485832,0.00043182,1.1767,0.511357,0.509287
A,农、林、牧、渔业,2014/12/31,-0.0007179,0.8902,0.396577,0.394093,-0.00072446,0.9145,0.442839,0.440546
A,农、林、牧、渔业,2015/12/31,0.00048965,1.1565,0.745167,0.744114,-5.90E-07,1.1328,0.751294,0.750266
A,农、林、牧、渔业,2016/12/30,0.00026003,1.1225,0.847757,0.847128,0.00013306,1.0013,0.773613,0.772677
A,农、林、牧、渔业,2017/12/29,-0.00093755,1.222,0.520811,0.518831,-0.00083227,1.1557,0.531593,0.529658
A,农、林、牧、渔业,2018/12/28,0.00006228,0.6663,0.352377,0.349689,0.00012072,0.6652,0.363059,0.360416
A,农、林、牧、渔业,2019/12/31,0.00101147,0.8644,0.228265,0.225076,0.00103197,0.8677,0.236384,0.233229
A,农、林、牧、渔业,2020/12/31,-0.00020259,0.9979,0.450093,0.447811,-0.00022542,0.9857,0.45188,0.449606
A,农、林、牧、渔业,2021/12/31,-0.00026013,0.9219,0.188784,0.185418,-0.00023793,0.8955,0.185866,0.182487
B,采矿业,2010/12/31,-0.00048063,1.1271,0.764465,0.763484,-0.00031898,0.9898,0.756207,0.755191
B,采矿业,2011/12/30,0.00017324,0.8578,0.787422,0.786544,0.0002043,0.8726,0.781573,0.78067
B,采矿业,2012/12/31,-0.00023167,0.8305,0.852671,0.85206,-0.00021941,0.8447,0.851227,0.85061
B,采矿业,2013/12/31,-0.00106689,0.7104,0.645042,0.643538,-0.00114193,0.7109,0.637668,0.636133
B,采矿业,2014/12/31,-0.00012154,0.884,0.541277,0.539389,-0.00008742,0.8611,0.534466,0.53255
B,采矿业,2015/12/31,-0.00157177,0.822,0.665558,0.664176,-0.00162498,0.8176,0.683916,0.68261
B,采矿业,2016/12/30,0.00037066,0.7225,0.727457,0.726331,0.00029463,0.7234,0.733816,0.732716
B,采矿业,2017/12/29,0.00026114,0.624,0.265768,0.262734,0.00023771,0.5741,0.263826,0.260784
B,采矿业,2018/12/28,0.00031395,0.8599,0.58775,0.58604,0.00026794,0.8339,0.582115,0.580381
B,采矿业,2019/12/31,-0.00063278,0.64,0.708348,0.707143,-0.00063094,0.6359,0.708991,0.707789
