指数代码_IdxCd,交易日期_TrdDt,收盘价(元/点)_ClPr
000001,2010-01-04,3243.76
000001,2010-01-05,3282.179
000001,2010-01-06,3254.215
000001,2010-01-07,3192.776
000001,2010-01-08,3195.997
000001,2010-01-11,3212.75
000001,2010-01-12,3273.966
000001,2010-01-13,3172.658
000001,2010-01-14,3215.55
000001,2010-01-15,3224.152
000001,2010-01-18,3237.098
000001,2010-01-19,3246.874
000001,2010-01-20,3151.85
000001,2010-01-21,3158.863
000001,2010-01-22,3128.588
000001,2010-01-25,3094.411
000001,2010-01-26,3019.394
000001,2010-01-27,2986.607
000001,2010-01-28,2994.143
000001,2010-01-29,2989.292
000001,2010-02-01,2941.36
000001,2010-02-02,2934.713
000001,2010-02-03,3003.835
000001,2010-02-04,2995.308
000001,2010-02-05,2939.402
000001,2010-02-08,2935.174
000001,2010-02-09,2948.842
000001,2010-02-10,2982.5
000001,2010-02-11,2985.499
000001,2010-02-12,3018.133
000001,2010-02-22,3003.398
000001,2010-02-23,2982.575
000001,2010-02-24,3022.177
000001,2010-02-25,3060.618
000001,2010-02-26,3051.943
000001,2010-03-01,3087.842
000001,2010-03-02,3073.108
000001,2010-03-03,3097.005
000001,2010-03-04,3023.373
000001,2010-03-05,3031.065
000001,2010-03-08,3053.232
000001,2010-03-09,3069.141
000001,2010-03-10,3048.927
000001,2010-03-11,3051.282
000001,2010-03-12,3013.412
000001,2010-03-15,2976.939
000001,2010-03-16,2992.841
000001,2010-03-17,3050.479
000001,2010-03-18,3046.089
000001,2010-03-19,3067.75
000001,2010-03-22,3074.576
000001,2010-03-23,3053.125
000001,2010-03-24,3056.808
000001,2010-03-25,3019.176
000001,2010-03-26,3059.715
000001,2010-03-29,3123.798
000001,2010-03-30,3128.468
000001,2010-03-31,3109.105
000001,2010-04-01,3147.416
000001,2010-04-02,3157.957
000001,2010-04-06,3158.681
000001,2010-04-07,3148.222
000001,2010-04-08,3118.709
000001,2010-04-09,3145.347
000001,2010-04-12,3129.263
000001,2010-04-13,3161.251
000001,2010-04-14,3166.183
000001,2010-04-15,3164.966
000001,2010-04-16,3130.302
000001,2010-04-19,2980.297
000001,2010-04-20,2979.533
000001,2010-04-21,3033.278
000001,2010-04-22,2999.484
000001,2010-04-23,2983.537
000001,2010-04-26,2969.503
000001,2010-04-27,2907.928
000001,2010-04-28,2900.331
000001,2010-04-29,2868.432
000001,2010-04-30,2870.611
000001,2010-05-04,2835.277
000001,2010-05-05,2857.151
000001,2010-05-06,2739.702
000001,2010-05-07,2688.383
000001,2010-05-10,2698.757
000001,2010-05-11,2647.574
000001,2010-05-12,2655.714
000001,2010-05-13,2710.507
000001,2010-05-14,2696.629
000001,2010-05-17,2559.931
000001,2010-05-18,2594.783
000001,2010-05-19,2587.807
000001,2010-05-20,2555.94
000001,2010-05-21,2583.522
000001,2010-05-24,2673.423
000001,2010-05-25,2622.63
000001,2010-05-26,2625.793
000001,2010-05-27,2655.918
000001,2010-05-28,2655.767
000001,2010-05-31,2592.147
000001,2010-06-01,2568.283
000001,2010-06-02,2571.423
000001,2010-06-03,2552.656
000001,2010-06-04,2553.593
000001,2010-06-07,2511.729
000001,2010-06-08,2513.947
000001,2010-06-09,2583.87
000001,2010-06-10,2562.58
000001,2010-06-11,2569.942
000001,2010-06-17,2560.245
000001,2010-06-18,2513.222
000001,2010-06-21,2586.21
000001,2010-06-22,2588.698
000001,2010-06-23,2569.872
000001,2010-06-24,2566.745
000001,2010-06-25,2552.817
000001,2010-06-28,2535.278
000001,2010-06-29,2427.053
000001,2010-06-30,2398.37
000001,2010-07-01,2373.792
000001,2010-07-02,2382.901
000001,2010-07-05,2363.947
000001,2010-07-06,2409.424
000001,2010-07-07,2421.117
000001,2010-07-08,2415.15
000001,2010-07-09,2470.923
000001,2010-07-12,2490.718
000001,2010-07-13,2450.286
000001,2010-07-14,2470.44
000001,2010-07-15,2424.304
000001,2010-07-16,2424.271
000001,2010-07-19,2475.421
000001,2010-07-20,2528.73
000001,2010-07-21,2535.394
000001,2010-07-22,2562.406
000001,2010-07-23,2572.028
000001,2010-07-26,2588.683
000001,2010-07-27,2575.368
000001,2010-07-28,2633.663
000001,2010-07-29,2648.116
000001,2010-07-30,2637.503
000001,2010-08-02,2672.516
000001,2010-08-03,2627.002
000001,2010-08-04,2638.522
000001,2010-08-05,2620.757
000001,2010-08-06,2658.392
000001,2010-08-09,2672.533
000001,2010-08-10,2595.274
000001,2010-08-11,2607.497
000001,2010-08-12,2575.475
000001,2010-08-13,2606.7
000001,2010-08-16,2661.708
000001,2010-08-17,2671.893
000001,2010-08-18,2666.301
000001,2010-08-19,2687.979
000001,2010-08-20,2642.307
000001,2010-08-23,2639.366
000001,2010-08-24,2650.307
000001,2010-08-25,2596.58
000001,2010-08-26,2603.481
000001,2010-08-27,2610.742
000001,2010-08-30,2652.664
000001,2010-08-31,2638.798
000001,2010-09-01,2622.882
000001,2010-09-02,2655.776
000001,2010-09-03,2655.394
000001,2010-09-06,2696.25
000001,2010-09-07,2698.363
000001,2010-09-08,2695.291
000001,2010-09-09,2656.352
000001,2010-09-10,2663.209
000001,2010-09-13,2688.32
000001,2010-09-14,2688.522
000001,2010-09-15,2652.503
000001,2010-09-16,2602.465
000001,2010-09-17,2598.689
000001,2010-09-20,2588.713
000001,2010-09-21,2591.55
000001,2010-09-27,2627.967
000001,2010-09-28,2611.354
000001,2010-09-29,2610.678
000001,2010-09-30,2655.658
000001,2010-10-08,2738.744
000001,2010-10-11,2806.942
000001,2010-10-12,2841.407
