,交易日期_TrdDt,指数代码_IdxCd,收盘价(元/点)_ClPr
0,2002-01-31,300,1221.76
1,2002-02-28,300,1244.603
2,2002-03-31,300,1313.466
3,2002-04-30,300,1353.607
4,2002-05-31,300,1238.577
5,2002-06-30,300,1431.175
6,2002-07-31,300,1358.16
7,2002-08-31,300,1361.298
8,2002-09-30,300,1285.652
9,2002-10-31,300,1225.338
10,2002-11-30,300,1164.618
11,2002-12-31,300,1103.641
12,2003-01-31,300,1207.597
13,2003-02-28,300,1213.862
14,2003-03-31,300,1215.168
15,2003-04-30,300,1239.952
16,2003-05-31,300,1300.865
17,2003-06-30,300,1214.547
18,2003-07-31,300,1222.737
19,2003-08-31,300,1178.574
20,2003-09-30,300,1127.144
21,2003-10-31,300,1111.617
22,2003-11-30,300,1142.975
23,2003-12-31,300,1194.744
24,2004-01-31,300,1281.334
25,2004-02-29,300,1351.61
26,2004-03-31,300,1384.954
27,2004-04-30,300,1239.72
28,2004-05-31,300,1206.841
29,2004-06-30,300,1078.485
30,2004-07-31,300,1088.677
31,2004-08-31,300,1055.97
32,2004-09-30,300,1109.324
33,2004-10-31,300,1050.299
34,2004-11-30,300,1062.814
35,2004-12-31,300,1000.0
36,2005-01-31,300,954.879
37,2005-02-28,300,1039.989
38,2005-03-31,300,942.203
39,2005-04-30,300,932.395
40,2005-05-31,300,855.946
41,2005-06-30,300,878.686
42,2005-07-31,300,888.164
43,2005-08-31,300,927.916
44,2005-09-30,300,917.392
45,2005-10-31,300,876.282
46,2005-11-30,300,873.825
47,2005-12-31,300,923.451
48,2006-01-31,300,1009.597
49,2006-02-28,300,1053.01
50,2006-03-31,300,1061.088
51,2006-04-30,300,1172.347
52,2006-05-31,300,1365.451
53,2006-06-30,300,1393.963
54,2006-07-31,300,1294.328
55,2006-08-31,300,1338.694
56,2006-09-30,300,1403.265
57,2006-10-31,300,1464.473
58,2006-11-30,300,1714.358
59,2006-12-31,300,2041.047
60,2007-01-31,300,2385.335
61,2007-02-28,300,2544.571
62,2007-03-31,300,2781.784
63,2007-04-30,300,3558.709
64,2007-05-31,300,3927.952
65,2007-06-30,300,3764.078
66,2007-07-31,300,4460.564
67,2007-08-31,300,5296.813
68,2007-09-30,300,5580.813
69,2007-10-31,300,5688.543
