股票代码_Stkcd,日期_Date,收盘价_ClPr,月无风险收益率_Monrfret
708,2000/1/28,4.7,0.00165
708,2000/2/29,4.91,0.00165
708,2000/3/31,5.43,0.00165
708,2000/4/28,5.3,0.00165
708,2000/5/31,5.88,0.00165
708,2000/6/30,5.82,0.00165
708,2000/7/31,6.76,0.00165
708,2000/8/31,7.09,0.00165
708,2000/9/29,6.01,0.00165
708,2000/10/31,6.19,0.00165
708,2000/11/30,6.75,0.00165
708,2000/12/29,6.68,0.00165
708,2001/1/19,7.15,0.00165
708,2001/2/28,6.78,0.00165
708,2001/3/30,6.99,0.00165
708,2001/4/30,6.8,0.00165
708,2001/5/31,6.7,0.00165
708,2001/6/29,7.14,0.00165
708,2001/7/31,6.25,0.00165
708,2001/8/31,5.91,0.00165
708,2001/9/28,5.65,0.00165
708,2001/10/31,5.42,0.00165
708,2001/11/30,5.73,0.00165
708,2001/12/31,5.43,0.00165
708,2002/1/31,5.21,0.00165
708,2002/2/28,5.14,0.001586
708,2002/3/29,5.3,0.001425
708,2002/4/30,6.18,0.001425
708,2002/5/31,5.82,0.001425
708,2002/6/28,6.57,0.001425
708,2002/7/31,6.18,0.001425
708,2002/8/30,6,0.001656
708,2002/9/27,5.52,0.001852
708,2002/10/31,5.32,0.001892
708,2002/11/29,5.06,0.001892
708,2002/12/31,4.59,0.001892
708,2003/1/29,5.1,0.001892
708,2003/2/28,5.16,0.001892
708,2003/3/31,5.07,0.001892
708,2003/4/30,5.06,0.001886
708,2003/5/30,5.3,0.001823
708,2003/6/30,5.2,0.001891
708,2003/7/31,5.07,0.001945
708,2003/8/29,4.69,0.001964
708,2003/9/30,4.68,0.002225
708,2003/10/31,4.84,0.002246
708,2003/11/28,5.19,0.002251
708,2003/12/31,4.89,0.002046
708,2004/1/30,5.65,0.002046
708,2004/2/27,9.18,0.001888
708,2004/3/31,9.21,0.001682
708,2004/4/30,6.7,0.001776
708,2004/5/31,7.33,0.00202
