股票代码_Stkcd,日期_Date,月收益率_Monret,月无风险收益率_Monrfret
600037,2001-02-28,,
600037,2001-03-30,0.0902,0.00165
600037,2001-04-30,0.1158,0.00165
600037,2001-05-31,-0.0234,0.00165
600037,2001-06-29,-0.0082,0.00165
600037,2001-07-31,-0.1176,0.00165
600037,2001-08-31,-0.0162,0.00165
600037,2001-09-28,0.0195,0.00165
600037,2001-10-31,-0.0647,0.00165
600037,2001-11-30,0.0371,0.00165
600037,2001-12-31,-0.0779,0.00165
600037,2002-01-31,-0.1329,0.00165
600037,2002-02-28,0.0489,0.001586
600037,2002-03-29,-0.0333,0.001425
600037,2002-04-30,0.055,0.001425
600037,2002-05-31,-0.0872,0.001425
600037,2002-06-28,0.0664,0.001425
600037,2002-07-31,0.0364,0.001425
600037,2002-08-30,-0.0209,0.001656
600037,2002-09-27,-0.0558,0.001852
600037,2002-10-31,-0.1028,0.001892
600037,2002-11-29,0.0111,0.001892
600037,2002-12-31,-0.0275,0.001892
600037,2003-01-29,0.1175,0.001892
600037,2003-02-28,-0.0379,0.001892
600037,2003-03-31,-0.0389,0.001892
600037,2003-04-30,-0.0148,0.001886
600037,2003-05-30,0.1127,0.001823
600037,2003-06-30,0.0434,0.001891
600037,2003-07-31,0.0755,0.001945
600037,2003-08-29,-0.0971,0.001964
600037,2003-09-30,-0.0902,0.002225
600037,2003-10-31,0.0065,0.002246
600037,2003-11-28,-0.1201,0.002251
600037,2003-12-31,0.0713,0.002046
600037,2004-01-30,0.2049,0.002046
600037,2004-02-27,0.0176,0.001888
600037,2004-03-31,0.0978,0.001682
600037,2004-04-30,-0.0742,0.001776
600037,2004-05-31,-0.029,0.00202
600037,2004-06-30,-0.157,0.002354
600037,2004-07-30,0.0641,0.002402
600037,2004-08-31,-0.0341,0.002377
600037,2004-09-30,0.037,0.002008
600037,2004-10-29,0.0106,0.00209
600037,2004-11-30,0.059,0.002086
600037,2004-12-31,0.0637,0.002035
600037,2005-01-31,-0.0493,0.002085
600037,2005-02-28,0.0125,0.00196
600037,2005-03-31,-0.173,0.001454
600037,2005-04-29,-0.0066,0.000954
600037,2005-05-31,-0.1338,0.000967
600037,2005-06-30,0.1226,0.00094
600037,2005-07-29,0.0851,0.000952
600037,2005-08-31,0.1365,0.000895
600037,2005-09-30,0.0567,0.00093
600037,2005-10-31,0.0504,0.000969
600037,2005-11-30,-0.0509,0.001173
600037,2005-12-30,0.1517,0.001507
600037,2006-01-20,0.1663,0.001507
600037,2006-02-16,-0.085,0.001466
600037,2006-03-31,-0.1621,0.001453
600037,2006-04-28,0.1317,0.001548
600037,2006-05-31,-0.0664,0.001672
600037,2006-06-30,0.0592,0.001811
600037,2006-07-31,-0.076,0.001981
600037,2006-08-31,0.0551,0.002051
600037,2006-09-29,0.0438,0.002067
600037,2006-10-31,0.172,0.002167
600037,2006-11-30,0.1468,0.002289
600037,2006-12-29,0.2331,0.00234
600037,2007-01-31,0.2731,0.00234
600037,2007-02-28,-0.1678,0.002374
600037,2007-03-30,0.1386,0.002364
600037,2007-04-30,0.1477,0.002427
600037,2007-05-31,0.2891,0.002487
600037,2007-06-29,-0.0538,0.002551
600037,2007-07-31,0.1371,0.00262
600037,2007-08-31,0.2019,0.002682
600037,2007-09-28,-0.0864,0.002934
600037,2007-10-31,-0.1435,0.00325
600037,2007-11-30,-0.1189,0.003545
600037,2007-12-28,0.2744,0.003643
600037,2008-01-31,-0.1711,0.003731
600037,2008-02-29,0.01,0.003753
600037,2008-03-31,-0.2249,0.003751
600037,2008-04-30,-0.0294,0.003745
600037,2008-05-30,-0.1157,0.003743
600037,2008-06-30,-0.2496,0.003732
600037,2008-07-31,-0.0228,0.003682
600037,2008-08-29,-0.2259,0.003604
600037,2008-09-26,0.0543,0.003591
600037,2008-10-31,-0.1937,0.003522
600037,2008-11-28,0.0521,0.003063
600037,2008-12-31,0.0675,0.001908
600037,2009-01-23,0,0.001256
600037,2009-02-27,-0.0179,0.001088
600037,2009-03-31,0.1019,0.001041
600037,2009-04-30,0.0282,0.001013
600037,2009-05-26,0.1127,0.00101
600037,2009-06-30,-0.0077,0.001043
600037,2009-07-31,0.093,0.001227
600037,2009-08-31,-0.1733,0.001435
600037,2009-09-30,0.0106,0.001459
600037,2009-10-30,0.1922,0.001481
600037,2009-11-30,0.1157,0.001499
600037,2009-12-31,0.015,0.001516
600037,2010-01-29,0.1931,0.001553
600037,2010-02-26,-0.0608,0.001604
600037,2010-03-31,-0.0245,0.001619
600037,2010-04-30,0.0625,0.001616
600037,2010-05-31,-0.057,0.001646
600037,2010-06-30,-0.1094,0.002004
600037,2010-07-30,0.0477,0.002134
600037,2010-08-31,-0.0379,0.002055
600037,2010-09-30,-0.0287,0.00213
600037,2010-10-29,0.1255,0.002246
600037,2010-11-30,-0.1213,0.002446
600037,2010-12-31,-0.0672,0.00323
600037,2011-01-31,-0.0256,0.00393
600037,2011-02-28,0.0542,0.00432
600037,2011-03-31,-0.0249,0.003581
600037,2011-04-29,-0.0543,0.003592
600037,2011-05-31,-0.0963,0.003795
600037,2011-06-30,-0.0383,0.004514
600037,2011-07-29,-0.0157,0.005108
600037,2011-08-31,-0.0459,0.004642
600037,2011-09-30,-0.0878,0.004687
600037,2011-10-31,0.2016,0.0047
600037,2011-11-30,-0.0982,0.004731
600037,2011-12-30,-0.1554,0.004565
600037,2012-01-31,0.0313,0.004565
600037,2012-02-29,0.0752,0.004446
600037,2012-03-30,-0.0982,0.004208
600037,2012-04-27,0.0338,0.004006
600037,2012-05-31,0.0194,0.003739
600037,2012-06-29,-0.095,0.003415
600037,2012-07-31,-0.0505,0.003225
600037,2012-08-31,-0.0615,0.003031
600037,2012-09-28,-0.0566,0.003047
600037,2012-10-31,0.0079,0.003083
