代码,日期,收盘价,rf
708,2002/1/4,5.3,0.000054
708,2002/1/7,5.25,0.000054
708,2002/1/8,5.23,0.000054
708,2002/1/9,5.28,0.000054
708,2002/1/10,5.27,0.000054
708,2002/1/11,5.09,0.000054
708,2002/1/14,4.92,0.000054
708,2002/1/15,4.9,0.000054
708,2002/1/16,5.01,0.000054
708,2002/1/17,4.77,0.000054
708,2002/1/18,4.67,0.000054
708,2002/1/21,4.7,0.000054
708,2002/1/22,4.74,0.000054
708,2002/1/23,5.08,0.000054
708,2002/1/24,5,0.000054
708,2002/1/25,5.02,0.000054
708,2002/1/28,4.63,0.000054
708,2002/1/29,4.9,0.000054
708,2002/1/30,5.04,0.000054
708,2002/1/31,5.21,0.000054
708,2002/2/1,5.06,0.000054
708,2002/2/4,5.21,0.000054
708,2002/2/5,5.3,0.000054
708,2002/2/6,5.07,0.000054
708,2002/2/7,5.15,0.000054
708,2002/2/8,5.12,0.000054
708,2002/2/25,5.25,0.000047
708,2002/2/26,5.28,0.000047
708,2002/2/27,5.27,0.000047
708,2002/2/28,5.14,0.000047
708,2002/3/1,5.02,0.000047
708,2002/3/4,5.14,0.000047
708,2002/3/5,5.22,0.000047
708,2002/3/6,5.26,0.000047
708,2002/3/7,5.46,0.000047
708,2002/3/8,5.62,0.000047
708,2002/3/11,5.67,0.000047
708,2002/3/12,5.54,0.000047
708,2002/3/13,5.44,0.000047
708,2002/3/14,5.62,0.000047
708,2002/3/15,5.35,0.000047
708,2002/3/18,5.43,0.000047
708,2002/3/19,5.53,0.000047
708,2002/3/20,5.54,0.000047
708,2002/3/21,5.55,0.000047
708,2002/3/22,5.7,0.000047
708,2002/3/25,5.66,0.000047
708,2002/3/26,5.51,0.000047
708,2002/3/27,5.56,0.000047
708,2002/3/28,5.48,0.000047
708,2002/3/29,5.3,0.000047
708,2002/4/1,5.34,0.000047
708,2002/4/2,5.23,0.000047
708,2002/4/3,5.26,0.000047
708,2002/4/4,5.45,0.000047
708,2002/4/5,5.65,0.000047
708,2002/4/8,5.86,0.000047
708,2002/4/9,5.84,0.000047
