date,open,high,low,close,volume
2016-08-10,18.520,22.220,18.520,22.220,15100
2016-08-11,24.440,24.440,24.440,24.440,6300
2016-08-12,26.880,26.880,26.880,26.880,13300
2016-08-15,29.570,29.570,29.570,29.570,9985
2016-08-16,32.530,32.530,32.530,32.530,23508
2016-08-17,35.780,35.780,35.780,35.780,17300
2016-08-18,39.360,39.360,39.360,39.360,26063
2016-08-19,43.300,43.300,43.300,43.300,81000
2016-08-22,47.630,47.630,47.630,47.630,171245
2016-08-23,52.390,52.390,52.390,52.390,128085
2016-08-24,57.630,57.630,57.630,57.630,122622
2016-08-25,63.390,63.390,60.000,63.390,21997494
2016-08-26,61.000,62.500,57.660,58.330,14004408
2016-08-29,56.990,56.990,54.120,54.700,10262699
2016-08-30,54.740,55.740,53.360,53.820,7377657
2016-08-31,53.400,55.430,52.510,54.610,7738351
2016-09-01,54.110,55.800,53.200,53.840,7160284
2016-09-02,53.000,53.900,52.740,52.940,5309318
2016-09-05,52.980,53.430,51.520,51.560,5491230
2016-09-06,51.600,51.980,50.000,51.740,5219188
2016-09-07,51.550,51.700,50.100,50.140,4275919
2016-09-08,50.040,51.000,49.590,49.920,3553628
2016-09-09,50.010,50.160,47.800,47.830,5538044
2016-09-12,46.510,47.440,46.070,46.650,3786466
2016-09-13,47.380,47.720,46.400,47.390,3721912
2016-09-14,46.910,47.480,46.380,46.480,3079675
2016-09-19,46.600,47.190,46.600,46.990,2235600
2016-09-20,47.040,48.000,46.780,47.220,3394871
2016-09-21,47.250,49.460,46.800,48.570,6195734
2016-09-22,48.310,48.790,47.530,47.650,4438189
2016-09-23,47.580,47.990,45.480,45.510,4413121
2016-09-26,45.060,45.290,41.720,41.970,4733795
2016-09-27,41.610,43.300,41.610,42.990,2996523
2016-09-28,42.750,43.150,42.110,42.330,1810748
2016-09-29,42.220,42.880,42.050,42.400,1698055
2016-09-30,42.350,42.600,42.000,42.230,1704479
2016-10-10,42.500,44.010,42.350,43.870,2637715
2016-10-11,43.830,44.430,43.120,44.360,3286622
2016-10-12,43.940,44.860,43.750,44.080,2670816
2016-10-13,44.090,44.450,43.370,43.400,2234149
2016-10-14,43.050,43.200,42.650,42.980,1788916
2016-10-17,43.200,47.280,43.100,47.280,10512859
2016-10-18,47.900,51.000,47.290,49.910,15615999
2016-10-19,49.450,52.000,48.310,50.340,12893187
2016-10-20,49.550,49.690,48.600,48.900,7132721
2016-10-21,48.560,51.800,48.400,51.300,11286784
2016-10-24,51.370,52.470,50.260,51.310,9170031
2016-10-25,50.600,51.280,49.600,50.270,6304033
2016-10-26,49.800,51.370,49.700,49.990,4917235
2016-10-27,49.900,52.980,49.790,52.600,9122434
2016-10-28,52.400,52.400,50.500,50.760,7727039
2016-10-31,49.500,50.450,49.000,49.460,4057501
2016-11-01,49.730,51.320,49.730,51.240,5430237
2016-11-02,50.800,54.680,50.210,53.300,11373351
2016-11-03,52.800,58.630,52.520,58.630,16211073
2016-11-04,60.500,64.380,58.650,61.220,18931488
2016-11-07,61.400,61.400,56.500,57.410,12822415
2016-11-08,57.800,60.250,56.010,59.600,11400953
2016-11-09,58.760,58.810,56.050,57.840,9550934
2016-11-10,57.820,61.450,57.020,60.420,13456518
2016-11-11,59.600,59.900,56.800,57.130,9718698
2016-11-14,56.150,56.180,53.700,53.960,7067859
2016-11-15,53.970,54.710,52.700,53.630,4505404
2016-11-16,53.750,54.190,52.880,53.000,3178444
2016-11-17,52.500,53.380,52.210,52.980,2851996
2016-11-18,53.400,54.270,52.730,53.000,3906223
2016-11-21,52.900,53.970,51.190,53.900,5515127
2016-11-22,53.800,55.350,53.400,55.050,6524442
2016-11-23,54.800,54.880,52.500,52.740,5004588
2016-11-24,52.700,53.200,50.650,50.780,3811594
2016-11-25,50.760,51.200,49.100,50.910,3030824
2016-11-28,51.100,51.160,49.280,49.470,2382913
2016-11-29,49.350,49.880,47.470,47.820,2694439
2016-11-30,47.800,48.470,47.610,48.050,1653119
2016-12-01,48.350,48.980,47.940,48.770,2258306
2016-12-02,48.800,48.990,47.420,47.450,2157952
2016-12-05,46.300,47.480,45.900,46.650,1461795
2016-12-06,46.920,48.980,46.920,48.690,3420282
2016-12-07,48.560,49.790,48.280,49.450,3536337
2016-12-08,49.000,49.300,48.100,48.190,2330493
2016-12-09,47.920,49.300,47.920,48.760,1893460
2016-12-12,49.010,49.140,43.880,43.880,3384992
2016-12-13,42.190,44.440,42.180,43.780,2272511
2016-12-14,43.780,44.130,42.500,42.560,1876861
2016-12-15,42.410,43.580,42.360,43.100,1729692
2016-12-16,42.830,43.750,42.780,43.720,1945394
2016-12-19,43.830,44.970,43.430,44.930,2052421
2016-12-20,44.500,45.880,44.200,44.740,2484452
2016-12-21,44.600,45.840,44.600,45.780,2210323
2016-12-22,45.980,46.260,45.200,46.090,2403950
2016-12-23,45.890,45.890,44.210,44.320,1959086
2016-12-26,44.100,45.200,43.000,45.040,1976161
2016-12-27,44.830,45.680,44.660,44.890,1296253
2016-12-28,44.910,45.260,43.610,43.740,1261916
2016-12-29,43.710,44.350,43.500,43.710,1060410
2016-12-30,43.750,44.320,43.550,43.800,878506
2017-01-03,44.100,44.490,43.850,44.290,1019630
2017-01-04,44.000,44.550,43.980,44.480,1304137
2017-01-05,44.400,45.100,44.100,44.150,1811091
2017-01-06,44.000,44.100,41.500,41.510,3437545
2017-01-09,40.680,41.330,40.580,40.760,1502318
2017-01-10,40.830,41.220,40.600,40.690,1067645
2017-01-11,40.690,40.700,38.700,38.760,2288437
2017-01-12,38.920,39.100,37.800,37.810,1293020
2017-01-13,37.800,38.180,35.390,35.650,2354228
2017-01-16,35.630,35.630,32.090,32.980,2504490
2017-01-17,32.550,34.400,32.200,34.090,2164829
2017-01-18,33.800,33.990,33.200,33.230,1077815
2017-01-19,33.030,34.260,32.700,33.680,1646205
2017-01-20,33.540,34.570,33.540,34.400,1533030
2017-01-23,34.540,34.980,34.310,34.520,1155393
2017-01-24,34.540,34.600,33.600,33.660,1040607
2017-01-25,33.570,34.250,33.430,34.060,831164
2017-01-26,34.060,34.490,34.030,34.260,805152
2017-02-03,34.260,34.450,33.820,34.000,540932
2017-02-06,34.300,35.300,34.110,35.180,1433741
2017-02-07,35.180,35.180,34.500,34.810,1215661
2017-02-08,34.970,35.660,34.400,35.570,1754266
2017-02-09,35.330,36.650,35.330,36.050,2200773
2017-02-10,36.100,36.290,35.300,35.820,1579825
2017-02-13,37.680,39.400,37.680,39.400,5540574
2017-02-14,39.400,39.400,38.510,38.850,4411486
2017-02-15,38.600,38.990,37.900,38.510,3897819
2017-02-16,38.000,38.560,37.690,38.380,2297164
2017-02-17,38.440,38.540,36.300,36.850,2680782
2017-02-20,36.600,37.500,36.020,37.460,2098735
2017-02-21,37.490,38.460,37.490,37.880,2175053
2017-02-22,37.800,37.860,37.310,37.540,1361223
2017-02-23,37.540,37.870,36.990,37.580,1710801
2017-02-24,37.400,38.970,37.260,38.870,3824039
2017-02-27,38.600,40.980,38.060,38.440,4495255
2017-02-28,38.010,41.500,37.900,41.090,7974258
2017-03-01,40.300,41.960,39.210,39.340,7103623
2017-03-02,39.230,39.280,38.100,38.340,3419414
2017-03-03,37.800,38.280,37.700,38.020,1962248
2017-03-06,38.130,38.880,38.130,38.710,1752583
2017-03-07,38.600,38.950,38.300,38.900,2027891
2017-03-08,38.990,39.790,38.990,39.620,3095018
2017-03-09,39.500,39.500,38.500,38.650,1908479
2017-03-10,38.720,39.080,38.270,38.400,1496407
2017-03-13,38.080,38.320,37.130,38.240,1910367
2017-03-14,38.190,40.440,38.190,39.990,5713335
2017-03-15,39.700,40.140,38.900,39.880,3065741
2017-03-16,39.600,41.520,39.440,40.970,6021601
2017-03-17,40.900,42.000,40.090,40.240,5673524
2017-03-20,40.010,40.800,39.700,40.440,2199553
2017-03-21,40.430,42.440,40.130,40.720,4356934
2017-03-22,40.130,40.400,39.100,40.140,3111395
2017-03-23,40.050,40.420,39.150,39.870,3209278
2017-03-24,39.580,40.110,39.180,39.370,2422546
2017-03-27,39.390,39.760,39.000,39.220,1813942
2017-03-28,39.220,39.340,38.020,38.090,1994100
2017-03-29,38.090,38.290,35.660,35.870,3405100
2017-03-30,35.750,35.800,34.650,34.900,2009026
2017-03-31,34.850,35.170,33.900,34.590,1675900
2017-04-05,38.050,38.050,37.080,38.050,4030896
2017-04-06,41.800,41.860,40.600,41.860,6351225
2017-04-07,42.990,46.050,41.630,44.010,16844974
2017-04-10,42.250,47.310,42.130,45.440,15513432
2017-04-11,44.980,48.500,44.300,47.340,15092162
2017-04-12,45.000,45.560,42.610,42.610,8847686
2017-04-13,40.500,43.730,40.300,42.130,6960663
2017-04-14,42.850,43.230,41.610,41.850,4905945
2017-04-17,40.420,41.490,37.670,37.670,5332023
2017-04-18,37.670,38.930,37.300,37.550,4063573
2017-04-19,36.700,40.500,36.700,39.640,5558080
2017-04-20,39.540,39.540,37.060,37.870,4346102
2017-04-21,37.870,39.400,37.650,38.200,4040797
2017-04-24,37.990,38.210,35.280,35.470,3612067
2017-04-25,35.550,37.230,35.550,36.290,3505130
2017-04-26,36.270,37.530,36.120,37.500,4590460
2017-04-27,37.000,38.500,36.250,37.900,5301659
2017-04-28,36.730,38.250,36.730,37.540,3781951
2017-05-02,37.570,38.660,37.410,38.370,4401085
2017-05-03,38.150,38.150,35.050,36.440,4294923
2017-05-04,36.100,37.990,35.680,36.840,4281318
2017-05-05,36.630,36.650,35.060,35.210,3407367
2017-05-08,35.340,35.660,32.980,33.040,2816637
2017-05-09,32.710,33.860,32.500,33.510,1686667
2017-05-10,33.520,33.990,32.500,33.010,1996248
2017-05-11,33.200,33.200,30.850,32.730,2311976
2017-05-12,32.550,32.980,32.060,32.770,1725526
2017-05-15,32.700,35.270,32.400,33.990,2753503
2017-05-16,34.730,37.390,34.330,37.390,3711350
2017-05-17,40.880,40.880,38.400,38.910,10371444
2017-05-18,38.220,39.500,37.440,38.170,6544568
2017-05-19,37.500,38.530,37.500,37.570,3640164
2017-05-22,36.370,37.370,34.700,34.930,3978767
2017-05-23,34.100,36.000,32.500,33.990,4191669
2017-05-24,33.010,35.110,33.010,34.740,3253705
2017-05-25,34.550,35.710,34.120,35.320,3330033
2017-05-26,35.540,36.360,35.010,35.670,4265460
2017-05-31,36.600,36.940,34.900,35.000,3412916
2017-06-01,33.710,34.710,32.700,32.790,2703600
2017-06-02,32.800,33.880,32.800,33.730,2437600
2017-06-05,33.920,34.730,33.610,33.650,1841754
2017-06-06,34.040,34.550,33.800,34.100,2030380
2017-06-07,33.850,37.510,33.850,36.040,5539112
2017-06-08,35.970,37.250,32.440,36.790,6454621
2017-06-09,36.570,36.590,35.660,35.840,3577058
2017-06-12,35.490,35.780,34.140,34.230,2954288
2017-06-13,34.250,35.230,34.100,34.820,2166565
2017-06-14,34.850,35.070,34.210,34.310,1829485
2017-06-15,34.100,35.270,34.100,35.000,2416254
2017-06-16,35.260,35.520,34.570,34.650,1880550
2017-06-19,34.650,34.980,34.410,34.860,1346700
2017-06-20,35.210,35.380,34.690,34.910,1883831
2017-06-21,34.910,34.940,34.150,34.800,2066713
2017-06-22,34.820,34.860,33.030,33.310,1990488
2017-06-23,33.310,33.840,32.500,33.470,1882399
2017-06-26,33.790,33.790,33.050,33.470,1107573
2017-06-27,33.570,33.790,33.240,33.360,976000
2017-06-28,33.010,33.460,32.660,33.070,1240700
2017-06-29,33.300,33.600,33.050,33.280,882900
2017-06-30,33.270,33.850,32.730,33.430,1179605
2017-07-03,33.440,33.610,33.150,33.560,1033197
2017-07-04,33.560,33.780,33.000,33.250,769300
2017-07-05,33.200,33.590,33.060,33.570,991321
2017-07-06,33.800,33.800,32.880,33.250,1449593
2017-07-07,32.980,33.410,32.980,33.310,1145989
2017-07-10,33.300,33.310,32.620,32.630,1487542
2017-07-11,32.520,32.990,32.000,32.050,1146410
2017-07-12,31.730,32.150,30.850,31.710,1577564
2017-07-13,31.580,31.580,31.090,31.180,978746
2017-07-14,31.350,33.160,31.110,32.840,2035548
2017-07-17,32.000,32.200,29.610,30.370,2099570
2017-07-18,29.630,31.050,29.630,30.670,1038995
2017-07-19,30.690,30.890,30.100,30.640,968818
2017-07-20,30.640,30.930,30.320,30.370,1016299
2017-07-21,30.370,30.450,29.950,30.020,915326
2017-07-24,29.920,30.000,29.520,29.800,1143102
2017-07-25,29.780,30.050,29.320,29.480,1047054
2017-07-26,29.480,29.680,28.750,29.010,1150825
2017-07-27,28.820,29.560,28.810,29.480,1449713
2017-07-28,29.440,29.900,29.280,29.630,1287492
2017-07-31,29.570,29.810,29.310,29.480,597265
2017-08-01,29.770,29.770,29.400,29.650,955642
2017-08-02,29.650,29.650,29.020,29.050,1128684
2017-08-03,29.070,30.440,28.800,29.930,1907401
2017-08-04,29.800,29.830,29.200,29.270,1151000
2017-08-07,29.260,29.450,28.990,29.110,703046
2017-08-08,29.490,29.920,29.160,29.330,911485
2017-08-09,29.170,29.210,28.840,28.930,1108803
2017-08-10,28.930,29.550,28.850,29.250,1388403
2017-08-11,29.200,29.970,29.030,29.380,1466738
2017-08-14,29.170,29.800,29.170,29.780,1512395
2017-08-15,29.790,31.390,29.630,30.620,2980903
2017-08-16,30.620,30.620,29.980,30.290,1421700
2017-08-17,30.250,31.900,30.060,30.760,2352570
2017-08-18,30.250,30.660,30.170,30.250,1426646
2017-08-21,29.900,30.560,29.900,30.320,1127750
2017-08-22,30.320,30.360,29.910,29.970,951253
2017-08-23,29.960,30.540,29.780,30.070,863500
2017-08-24,30.070,30.520,29.800,30.210,1401882
2017-08-25,30.090,30.420,29.880,30.360,1169268
2017-08-28,30.360,30.970,30.230,30.680,1526664
2017-08-29,30.680,31.200,30.420,30.620,2196587
2017-08-30,30.470,30.980,30.460,30.570,1143100
2017-08-31,30.630,30.800,30.310,30.600,1208406
2017-09-01,30.620,30.950,30.450,30.540,1205384
2017-09-04,30.410,30.690,30.210,30.370,1128699
2017-09-05,30.500,31.200,30.400,30.810,2076841
2017-09-06,30.600,30.930,30.270,30.680,1516907
2017-09-07,30.660,31.130,30.540,30.900,2200543
2017-09-08,31.250,32.890,31.230,31.540,4223900
2017-09-11,31.230,31.890,31.200,31.560,2131096
2017-09-12,31.500,31.530,30.800,30.920,2015230
2017-09-13,30.850,31.170,30.650,31.000,970530
2017-09-14,31.010,31.340,30.920,31.150,1273054
2017-09-15,31.120,31.160,30.680,30.790,1069556
2017-09-18,30.720,31.100,30.620,31.060,1014948
2017-09-19,31.020,32.470,30.870,31.560,3326592
2017-09-20,31.520,31.850,31.100,31.430,1976286
2017-09-21,31.260,31.790,31.150,31.280,1894036
2017-09-22,31.290,31.880,31.040,31.810,2221503
2017-09-25,31.740,31.790,31.130,31.320,1326690
2017-09-26,31.020,31.390,30.220,30.530,1772617
2017-09-27,30.510,31.240,30.510,30.820,1173801
2017-09-28,30.520,31.500,30.520,31.120,1883424
2017-09-29,31.000,31.510,30.850,31.270,1480606
2017-10-09,31.690,31.730,31.300,31.380,1277878
2017-10-10,31.380,31.960,31.310,31.930,2164583
2017-10-11,32.100,33.280,31.830,33.030,6119309
2017-10-12,32.950,33.090,32.300,32.520,3241058
2017-10-13,32.700,32.830,32.230,32.410,2517875
2017-10-16,32.300,32.470,31.250,31.280,2155219
2017-10-17,31.160,33.600,31.030,32.790,4717986
2017-10-18,32.600,32.640,31.800,31.920,2857222
2017-10-19,31.780,33.300,31.780,32.680,4010729
2017-10-20,33.600,34.680,33.000,34.000,7716801
2017-10-23,34.090,36.330,33.500,34.750,8804843
2017-10-24,34.250,34.280,32.880,33.520,5306337
2017-10-25,33.300,34.000,32.980,33.990,3180873
2017-10-26,33.660,33.890,33.300,33.490,2284315
2017-10-27,33.480,33.760,32.420,32.580,3001600
2017-10-30,32.660,32.740,31.030,31.280,2988147
2017-10-31,31.200,32.320,31.010,32.170,2318623
2017-11-01,32.320,32.320,31.600,31.710,1773180
2017-11-02,31.640,31.640,31.000,31.020,1719569
2017-11-03,31.140,31.350,29.960,30.180,1709323
2017-11-06,30.100,30.490,29.860,30.470,1132200
2017-11-07,30.460,30.480,29.840,30.290,1452132
2017-11-08,30.000,30.700,29.970,30.530,1374400
2017-11-09,30.570,30.880,30.400,30.660,1161699
2017-11-10,30.780,30.840,30.060,30.270,1414928
2017-11-13,30.270,30.400,29.600,29.880,1657959
2017-11-14,29.750,29.890,28.900,29.040,1603309
2017-11-15,29.040,29.210,28.800,29.190,898432
2017-11-16,29.180,29.180,28.580,28.610,854453
2017-11-17,28.720,28.720,26.020,26.470,1986676
2017-11-20,26.430,26.430,24.610,26.240,1401895
2017-11-21,25.930,26.590,25.550,26.110,996068
2017-11-22,26.480,26.480,25.600,25.740,942700
2017-11-23,25.220,25.960,25.220,25.580,924000
