股票代码_Stkcd,日期_Date,日收益率_Dret,日无风险收益率_DRfRet
600618,2017/3/14,-0.0038,0.000118
600618,2017/3/15,-0.013,0.000118
600618,2017/3/16,0.0132,0.000119
600618,2017/3/17,-0.0008,0.000119
600618,2017/3/20,0.01,0.00012
600618,2017/3/21,-0.0076,0.00012
600618,2017/3/22,-0.0191,0.000121
600618,2017/3/23,-0.007,0.000122
600618,2017/3/24,0.0078,0.000122
600618,2017/3/27,0.0016,0.000122
600618,2017/3/28,-0.0008,0.000121
600618,2017/3/29,-0.007,0.000121
600618,2017/3/30,-0.0415,0.000121
600618,2017/3/31,-0.0025,0.00012
600618,2017/4/5,0.0098,0.000119
600618,2017/4/6,-0.0081,0.000118
600618,2017/4/7,0.0065,0.000118
600618,2017/4/10,-0.0171,0.000118
600618,2017/4/11,-0.0025,0.000117
600618,2017/4/12,0.0008,0.000117
600618,2017/4/13,-0.0017,0.000117
600618,2017/4/14,-0.0199,0.000117
600618,2017/4/17,0.0212,0.000117
600618,2017/4/18,-0.0207,0.000117
600618,2017/4/19,-0.0432,0.000117
600618,2017/4/20,-0.0159,0.000117
600618,2017/4/21,0.0108,0.000117
600618,2017/4/24,-0.04,0.000117
600618,2017/4/25,-0.0074,0.000117
600618,2017/4/26,-0.0261,0.000117
600618,2017/4/27,-0.0067,0.000118
600618,2017/4/28,0.0164,0.000118
600618,2017/5/2,0.0266,0.000118
600618,2017/5/3,0.0028,0.000119
600618,2017/5/4,-0.024,0.000119
600618,2017/5/5,0.0057,0.000119
600618,2017/5/8,0.0132,0.00012
600618,2017/5/9,-0.0223,0.00012
600618,2017/5/10,-0.037,0.00012
600618,2017/5/11,-0.0039,0.000121
600618,2017/5/12,0,0.000121
600618,2017/5/15,-0.0049,0.000121
600618,2017/5/16,0.0129,0.000121
600618,2017/5/17,0.0079,0.000122
600618,2017/5/18,-0.0107,0.000122
600618,2017/5/19,0.0049,0.000122
600618,2017/5/22,-0.0294,0.000123
600618,2017/5/23,-0.0747,0.000123
600618,2017/5/24,0.0065,0.000124
600618,2017/5/25,0.0163,0.000124
600618,2017/5/26,0.0171,0.000124
600618,2017/5/31,-0.0168,0.000125
600618,2017/6/1,-0.0277,0.000125
600618,2017/6/2,0.0088,0.000126
600618,2017/6/5,0.0174,0.000127
600618,2017/6/6,0.0032,0.000128
600618,2017/6/7,0.0181,0.000129
600618,2017/6/8,-0.0021,0.00013
600618,2017/6/9,0.0346,0.00013
600618,2017/6/12,-0.0517,0.000131
600618,2017/6/13,0.0118,0.000131
600618,2017/6/14,0.0011,0.000131
600618,2017/6/15,0.0253,0.000131
600618,2017/6/16,0.0998,0.00013
600618,2017/6/19,-0.0103,0.00013
600618,2017/6/20,0.0028,0.000129
600618,2017/6/21,0.0104,0.000128
600618,2017/6/22,-0.0177,0.000127
600618,2017/6/23,-0.0066,0.000127
600618,2017/6/26,0.0019,0.000126
600618,2017/6/27,0.0086,0.000126
600618,2017/6/28,-0.0246,0.000125
600618,2017/6/29,0.0087,0.000124
600618,2017/6/30,0.0269,0.000123
600618,2017/7/3,0.0787,0.000123
600618,2017/7/4,0.0399,0.000122
600618,2017/7/5,0.0042,0.000121
600618,2017/7/6,-0.005,0.00012
600618,2017/7/7,-0.0125,0.000119
600618,2017/7/10,0.0423,0.000119
600618,2017/7/11,-0.0463,0.000118
600618,2017/7/12,0.0153,0.000118
600618,2017/7/13,0.0075,0.000118
600618,2017/7/14,0.03,0.000117
600618,2017/7/17,-0.063,0.000117
600618,2017/7/18,0.0543,0.000117
600618,2017/7/19,0.0343,0.000117
600618,2017/7/20,-0.015,0.000117
600618,2017/7/21,-0.0048,0.000117
600618,2017/7/24,-0.0073,0.000117
600618,2017/7/25,-0.0162,0.000117
600618,2017/7/26,0.0586,0.000116
600618,2017/7/27,-0.0328,0.000116
600618,2017/7/28,0.0145,0.000116
600618,2017/7/31,0.0302,0.000117
600618,2017/8/1,0.0054,0.000117
600618,2017/8/2,-0.0292,0.000117
600618,2017/8/3,0.0111,0.000117
600618,2017/8/4,0.007,0.000117
600618,2017/8/7,-0.0248,0.000117
600618,2017/8/8,-0.0263,0.000117
600618,2017/8/9,0.0082,0.000117
600618,2017/8/10,-0.0446,0.000117
600618,2017/8/11,-0.0416,0.000118
600618,2017/8/14,0.0159,0.000118
600618,2017/8/15,0.0026,0.000119
600618,2017/8/16,0.0087,0.000119
600618,2017/8/17,0.0112,0.000119
600618,2017/8/18,0.0068,0.000119
600618,2017/8/21,0.0076,0.000119
600618,2017/8/22,-0.0134,0.000119
600618,2017/8/23,-0.0221,0.000119
600618,2017/8/24,0.0026,0.00012
600618,2017/8/25,0.0182,0.00012
600618,2017/8/28,0.0162,0.00012
600618,2017/8/29,-0.0076,0.00012
600618,2017/8/30,0.0372,0.00012
600618,2017/8/31,0,0.00012
600618,2017/9/1,0.0065,0.00012
600618,2017/9/4,0.0016,0.000121
600618,2017/9/5,-0.0081,0.000121
600618,2017/9/6,-0.0057,0.000121
600618,2017/9/7,-0.0172,0.000122
600618,2017/9/8,0.0042,0.000121
600618,2017/9/11,0.0224,0.000121
600618,2017/9/12,-0.0008,0.00012
600618,2017/9/13,-0.009,0.00012
600618,2017/9/14,0.0304,0.00012
600618,2017/9/15,-0.0311,0.00012
600618,2017/9/18,-0.0016,0.00012
600618,2017/9/19,-0.0189,0.00012
600618,2017/9/20,-0.0008,0.00012
600618,2017/9/21,-0.0101,0.00012
600618,2017/9/22,-0.0195,0.000119
600618,2017/9/25,-0.0052,0.000119
600618,2017/9/26,0.0078,0.000119
600618,2017/9/27,0.0104,0.000119
600618,2017/9/28,0.0043,0.000119
600618,2017/9/29,0.0085,0.000119
600618,2017/9/30,,
600618,2017/10/9,0.1004,0.000119
600618,2017/10/10,0.0107,0.000119
600618,2017/10/11,0.0311,0.000119
600618,2017/10/12,-0.0294,0.000119
600618,2017/10/13,0.0015,0.000119
600618,2017/10/16,-0.0348,0.00012
600618,2017/10/17,-0.0165,0.00012
600618,2017/10/18,0.0159,0.00012
600618,2017/10/19,-0.0267,0.00012
600618,2017/10/20,0.0153,0.00012
600618,2017/10/23,-0.0016,0.00012
600618,2017/10/24,0,0.00012
600618,2017/10/25,0.0318,0.00012
600618,2017/10/26,0.0123,0.00012
600618,2017/10/27,-0.0289,0.00012
600618,2017/10/30,0.0047,0.00012
600618,2017/10/31,-0.0055,0.00012
600618,2017/11/1,0.022,0.000121
600618,2017/11/2,-0.0276,0.000121
600618,2017/11/3,-0.0427,0.000121
600618,2017/11/6,0.0223,0.000121
600618,2017/11/7,-0.004,0.000121
600618,2017/11/8,0.0405,0.000122
600618,2017/11/9,0,0.000122
600618,2017/11/10,0.0187,0.000123
600618,2017/11/13,0.0206,0.000124
600618,2017/11/14,-0.0135,0.000124
600618,2017/11/15,-0.0167,0.000125
600618,2017/11/16,0.0317,0.000125
600618,2017/11/17,-0.0419,0.000126
600618,2019/10/17,-0.0065,0.000075
600618,2019/10/18,-0.0156,0.000075
600618,2019/10/21,-0.0159,0.000076
600618,2019/10/22,0.0067,0.000077
600618,2019/10/23,-0.008,0.000077
600618,2019/10/24,-0.0094,0.000077
600618,2019/10/25,0.0122,0.000078
600618,2019/10/28,0.0174,0.000078
600618,2019/10/29,-0.0092,0.000078
600618,2019/10/30,-0.0266,0.000078
600618,2019/10/31,-0.0096,0.000079
600618,2019/11/1,0.0055,0.000079
600618,2019/11/4,0.0014,0.00008
600618,2019/11/5,-0.0069,0.00008
600618,2019/11/6,-0.0014,0.000081
600618,2019/11/7,0,0.000081
600618,2019/11/8,0,0.000081
600618,2019/11/11,-0.0318,0.000081
600618,2019/11/12,-0.0029,0.000081
600618,2019/11/13,0.0029,0.000082
600618,2019/11/14,-0.0057,0.000082
600618,2019/11/15,-0.0287,0.000083
600618,2019/11/18,0.0015,0.000083
600618,2019/11/19,0.0103,0.000083
600618,2019/11/20,-0.0088,0.000083
600618,2019/11/21,-0.0059,0.000083
600618,2019/11/22,0.0089,0.000083
600618,2019/11/25,0.0162,0.000083
600618,2019/11/26,0.0014,0.000083
600618,2019/11/27,-0.0101,0.000083
600618,2019/11/28,0.0015,0.000083
600618,2019/11/29,0.0044,0.000083
600618,2019/12/2,-0.0044,0.000083
600618,2019/12/3,0,0.000083
600618,2019/12/4,-0.0015,0.000083
600618,2019/12/5,0.0044,0.000083
600618,2019/12/6,0.0087,0.000083
600618,2019/12/9,-0.0029,0.000083
600618,2019/12/10,0.0029,0.000083
