¹ÉÆ±´úÂë_StkCd,Date,Beta
676,2001/1/19,0.6065
676,2001/2/28,2.2482
676,2001/3/30,1.8486
676,2001/4/27,1.9264
676,2001/5/31,1.7128
676,2001/6/29,1.5221
676,2001/7/31,0.8106
676,2001/8/31,0.8398
676,2001/9/28,0.8071
676,2001/10/31,0.8978
676,2001/11/30,0.0406
676,2001/12/31,0.1828
676,2002/1/31,0.0941
676,2002/2/28,0.0961
676,2002/3/29,0.2459
676,2002/4/30,0.3471
676,2002/5/31,0.4075
676,2002/6/28,0.5358
676,2002/7/31,0.6574
676,2002/8/30,0.6981
676,2002/9/27,0.6023
676,2002/10/31,0.6158
676,2002/11/29,0.6396
676,2002/12/31,0.5784
676,2003/1/29,0.486
676,2003/2/28,0.5191
676,2003/3/31,0.5392
676,2003/4/30,0.4854
676,2003/5/30,0.2875
676,2003/6/30,0.033
676,2003/7/31,0.0675
676,2003/8/29,-0.034
676,2003/9/30,0.0119
676,2003/10/31,-0.0649
676,2003/11/28,-0.0544
676,2003/12/31,-0.0761
676,2004/1/30,0.0873
676,2004/2/27,0.0268
676,2004/3/31,0.0031
676,2004/4/30,-0.0364
676,2004/5/31,-0.0527
676,2004/6/30,-0.0179
676,2004/7/30,-0.0159
676,2004/8/31,-0.0368
676,2004/9/30,-0.0592
676,2004/10/29,-0.0724
676,2004/11/30,-0.095
676,2004/12/31,-0.1141
676,2005/1/31,-0.1327
676,2005/2/28,-0.1156
676,2005/3/31,-0.0815
676,2005/4/29,-0.0499
676,2005/5/31,-0.0398
676,2005/6/30,-0.3995
676,2005/7/29,-0.4423
676,2005/8/31,0.0809
676,2005/9/30,0.3615
676,2005/10/31,0.423
676,2005/11/30,0.4494
676,2005/12/30,0.515
676,2006/1/25,0.702
676,2006/2/28,0.8092
676,2006/3/31,1.1632
676,2006/4/28,0.8087
676,2006/5/31,2.1479
676,2006/6/30,1.5447
676,2006/7/31,1.945
676,2006/8/31,2.0062
676,2006/9/29,2.2667
676,2006/10/31,2.573
676,2006/11/30,2.5701
676,2006/12/29,2.3061
676,2007/1/31,2.05
676,2007/2/28,2.1801
676,2007/3/30,2.2921
676,2007/4/30,1.8104
676,2007/5/31,1.5243
676,2007/6/29,1.6788
676,2007/7/31,1.6014
676,2007/8/31,1.678
676,2007/9/28,1.7746
676,2007/10/31,1.7787
676,2007/11/30,1.2691
676,2007/12/28,1.2895
676,2008/1/31,1.2211
676,2008/2/29,1.1693
676,2008/3/31,1.0886
676,2008/4/30,1.1074
676,2008/5/30,1.1474
676,2008/6/30,1.0522
676,2008/7/31,0.9596
676,2008/8/29,0.9454
676,2008/9/26,1.0334
676,2008/10/31,1.0474
676,2008/11/28,1.1449
676,2008/12/31,1.1744
676,2009/1/23,1.1081
676,2009/2/27,1.0681
676,2009/3/31,1.0475
676,2009/4/30,1.112
676,2009/5/27,1.1186
676,2009/6/30,1.0623
676,2009/7/31,1.1331
676,2009/8/31,1.0767
676,2009/9/30,1.0756
676,2009/10/30,1.0665
676,2009/11/30,0.9853
676,2009/12/31,1.0275
676,2010/1/29,1.1287
676,2010/2/26,1.125
676,2010/3/31,1.2059
676,2010/4/30,1.2561
676,2010/5/31,1.3012
676,2010/6/30,1.2293
676,2010/7/30,0.9799
676,2010/8/31,1.1357
676,2010/9/30,1.123
676,2010/10/29,1.1854
676,2010/11/30,1.1766
676,2010/12/31,1.1841
676,2011/1/31,1.1305
676,2011/2/28,1.0662
676,2011/3/31,1.0265
676,2011/4/29,0.8674
676,2011/5/31,0.7808
676,2011/6/30,0.7631
676,2011/7/29,0.7068
676,2011/8/31,0.652
676,2011/9/30,0.6115
676,2011/10/31,0.5188
676,2011/11/30,0.5415
676,2011/12/30,0.9777
676,2012/1/31,1.02
676,2012/2/29,1.0446
676,2012/3/30,1.0762
676,2012/4/27,1.0987
676,2012/5/31,1.1148
676,2012/6/29,1.1255
676,2012/7/31,1.1312
676,2012/8/31,1.1459
676,2012/9/28,1.3558
676,2012/10/31,1.4388
676,2012/11/30,1.3403
676,2012/12/31,0.8741
676,2013/1/31,0.8824
676,2013/2/28,0.8972
676,2013/3/29,0.6124
676,2013/4/26,0.6605
676,2013/5/31,0.6773
676,2013/6/28,0.8575
676,2013/7/31,0.7855
676,2013/8/30,0.8267
676,2013/9/30,0.8208
676,2013/10/31,0.8223
676,2013/11/29,0.7641
676,2013/12/31,0.9056
676,2014/1/30,0.9203
676,2014/2/28,0.9174
676,2014/3/31,0.7692
676,2014/4/30,0.7848
676,2014/5/30,0.8148
676,2014/6/30,0.0475
676,2014/7/31,0.2031
676,2014/8/29,0.053
676,2014/9/30,1.2871
676,2014/10/31,1.3528
676,2014/11/7,1.5774
676,2015/10/30,10.2242
676,2015/11/30,9.7565
676,2015/12/23,9.743
676,2016/1/29,4.1772
676,2016/2/29,4.1583
676,2016/3/31,3.6799
676,2016/4/29,3.778
676,2016/5/27,3.8792
676,2016/6/30,3.8668
676,2016/7/29,3.9712
676,2016/8/31,3.9123
676,2016/9/30,3.9084
676,2016/10/31,1.2419
676,2016/11/16,1.1609
676,2017/1/26,1.2374
676,2017/2/28,2.1946
676,2017/3/31,2.2491
676,2017/4/28,1.762
676,2017/5/31,0.7665
