股票代码_Stkcd,日期_Date,收盘价_ClPr,成交量_Trdvol,成交金额_Trdsum,流通股月换手率(%)_MonTrdTurnR,月收益率_Monret,月无风险收益率_Monrfret,市盈率_PE,每股收益(摊薄)(元/股)_EPS,每股净资产(元/股)_NAPS,每股营业收入(元/股)_IncomePS
676,2001/1/19,26.68,5261445,137775076.4,10.5229,0.0091,0.00165,160.05,0.2,2.6,0.31
676,2001/2/28,27.07,4505055,115725777,9.0101,0.0146,0.00165,162.39,0.2,2.6,0.31
676,2001/3/30,26.19,8051400,215005304.9,16.1028,-0.0146,0.00165,157.11,0.17,1.37,0.73
676,2001/4/27,26.62,6750774,177939908.7,12.2581,0.0164,0.00165,132.64,0.17,1.37,0.7
676,2001/5/31,27.8,9160364,252556553.1,15.9311,0.0443,0.00165,138.52,0.17,1.37,0.7
676,2001/6/29,28.15,9060961,253617769,15.7582,0.0126,0.00165,140.27,0.17,1.37,0.7
676,2001/7/31,28.5,14522372,416330786.3,25.2563,0.0124,0.00165,118.02,0.18,2.05,0.48
676,2001/8/31,16.99,14280565,337506056,20.1085,0.0134,0.00165,119.61,0.18,2.05,0.28
676,2001/9/28,15.78,9066281,146837974,9.275,-0.0712,0.00165,111.09,0.18,2.05,0.28
676,2001/10/31,15.08,12070868,189779141.8,12.3487,-0.0444,0.00165,117.88,0.18,2.05,0.28
676,2001/11/30,14.91,5558522,83573087.61,5.6865,-0.0113,0.00165,116.55,0.18,2.05,0.28
676,2001/12/31,13.61,7896794,114322085.9,8.0786,-0.0872,0.00165,106.39,0.18,2.05,0.28
676,2002/1/31,13.85,3848709,51703247.35,3.9373,0.0176,0.00165,121.7,0.18,2.05,0.28
676,2002/2/28,13.6,5576164,75217194.62,5.7045,-0.0181,0.001586,119.51,0.18,2.05,0.28
676,2002/3/29,14.33,11299501,162315381.7,11.5596,0.0537,0.001425,125.92,0.11,1.16,0.47
676,2002/4/30,15.73,16578875,256719857.6,16.9605,0.0977,0.001425,197.26,0.02,1.18,0.47
676,2002/5/31,13.9,6666805,99095496.91,6.8203,-0.1125,0.001425,174.31,0.02,1.18,0.47
676,2002/6/28,15.55,13097457,192544054.7,13.3989,0.1187,0.001425,195.01,0.02,1.18,0.47
676,2002/7/31,16.41,7230763,115150367.9,7.3972,0.0553,0.001425,243.54,0.02,1.18,0.47
676,2002/8/30,18.41,8817941,152672591.5,9.0209,0.1219,0.001656,273.22,0.06,1.22,0.56
676,2002/9/27,19.08,9639658,183413171.2,9.8615,0.0364,0.001852,283.16,0.06,1.22,0.56
676,2002/10/31,17.87,5476027,101730462.6,5.6021,-0.0634,0.001892,177.74,0.1,1.25,1.02
676,2002/11/29,18.01,9584983,168659815.3,9.8056,0.0078,0.001892,179.13,0.1,1.25,1.02
676,2002/12/31,17.89,5833448,105105553.5,5.9677,-0.0067,0.001892,177.94,0.1,1.25,1.02
676,2003/1/29,17.3,6944455,118348075.1,7.1043,-0.033,0.001892,135.16,0.1,1.25,1.02
676,2003/2/28,17.96,4362396,76624068.52,4.4628,0.0382,0.001892,140.31,0.1,1.25,1.02
676,2003/3/31,18.03,5263020,94346995.97,5.3842,0.0039,0.001892,140.86,0.13,1.22,0.95
676,2003/4/30,18.4,5582345,100653489.9,5.7108,0.0205,0.001886,160.42,0,1.23,0.17
676,2003/5/30,18.59,5955587,110232424.3,6.0927,0.0103,0.001823,162.07,0,1.23,0.17
676,2003/6/30,18.38,10426531,193077737.8,10.6665,-0.0081,0.001891,160.24,0,1.23,0.17
676,2003/7/31,18.77,6988439,130129186.6,7.1493,0.0212,0.001945,174.12,0,1.23,0.17
676,2003/8/29,18.33,6334737,118191483.3,6.4805,-0.0234,0.001964,170.04,0.04,1.26,0.44
676,2003/9/30,18.46,7089388,130143612.3,7.2526,0.0071,0.002225,171.24,0.04,1.26,0.44
676,2003/10/31,18.53,3588205,66401907.89,3.6708,0.0038,0.002246,220.86,0.05,1.28,0.75
676,2003/11/28,18.71,8129680,149963153.2,8.3168,0.0097,0.002251,223,0.05,1.28,0.75
676,2003/12/31,18.8,9356873,175295159.8,9.5722,0.0048,0.002046,224.08,0.05,1.28,0.75
676,2004/1/30,18.8,6086023,114383818.2,6.2261,0,0.002046,185.04,0.05,1.28,0.75
676,2004/2/27,18.81,5121854,96338427.22,5.2397,0.0005,0.001888,185.14,0.1,1.33,1.21
676,2004/3/31,18.5,4481886,84005764.65,4.585,-0.0165,0.001682,182.09,0.1,1.33,1.21
676,2004/4/30,18.85,9510335,178433009.3,9.7292,0.0189,0.001776,185.35,0,1.33,0.17
676,2004/5/31,18.91,5268180,99546760.9,5.3894,0.0074,0.00202,185.94,0,1.33,0.17
676,2004/6/30,18.62,5058106,94741939.2,5.1745,-0.0153,0.002354,183.09,0,1.33,0.17
