,day,open,high,low,close,volume
0,1996/12/24,13.68,14.1,12.69,12.85,5658400
1,1996/12/25,12.28,12.73,11.48,12.46,2399600
2,1996/12/26,12.58,12.88,12.02,12.58,1297300
3,1996/12/27,12.68,13.25,12.3,13.13,2391700
4,1996/12/30,13.35,14.45,13.15,14.34,4038700
5,1996/12/31,14.2,14.36,13.2,13.55,2131000
6,1997/1/2,13.75,13.98,13.21,13.52,983400
7,1997/1/3,13.55,13.6,12.75,12.9,923400
8,1997/1/6,12.5,12.78,11.8,11.81,444500
9,1997/1/7,11.65,12.64,11.3,12.35,684200
10,1997/1/8,12.3,12.6,11.9,12.3,506800
11,1997/1/9,12.5,12.6,12.28,12.4,236200
12,1997/1/10,12.5,12.6,12.37,12.56,350300
13,1997/1/13,12.76,13.35,12.76,13.13,765500
14,1997/1/14,13.1,13.4,12.55,12.75,746300
15,1997/1/15,12.7,13.28,12.6,13.1,800500
16,1997/1/16,13.1,13.24,12.75,12.95,525900
17,1997/1/17,13,13.25,12.75,12.97,676800
18,1997/1/20,13.1,13.28,13.01,13.2,595800
19,1997/1/21,13.3,13.3,12.86,12.91,552100
20,1997/1/22,12.65,13.08,12.65,12.91,412000
21,1997/1/23,12.9,13,12.6,12.98,595100
22,1997/1/24,13.1,13.1,12.85,13,349200
23,1997/1/27,13,13.19,12.88,13.08,573400
24,1997/1/28,13.1,13.2,12.85,12.93,348100
25,1997/1/29,12.95,13.02,12.72,12.77,361900
26,1997/1/30,12.7,12.75,12.66,12.73,425500
27,1997/1/31,12.65,12.89,12.65,12.78,286500
28,1997/2/17,12.95,12.98,12.7,12.75,252400
29,1997/2/18,12.75,12.75,11.48,11.48,448900
30,1997/2/19,11.6,12.1,11.5,11.99,419800
31,1997/2/20,10.79,11.55,10.79,11.4,481800
32,1997/2/21,11.4,11.86,11.4,11.78,316400
33,1997/2/24,11.8,12.1,11.62,11.68,356100
34,1997/2/25,11.6,11.98,11.6,11.98,360800
35,1997/2/26,12,12.29,12,12.26,318300
36,1997/2/27,12.3,12.7,12.23,12.42,626600
37,1997/2/28,12.3,12.61,12.28,12.41,357100
38,1997/3/3,12.46,12.95,12.45,12.9,614400
39,1997/3/4,13,13.76,12.85,13.47,1393700
40,1997/3/5,13.5,13.7,13.12,13.37,1353600
41,1997/3/6,13.2,13.58,13.05,13.28,477700
42,1997/3/7,13.2,13.48,13,13.05,446900
43,1997/3/10,13.15,13.15,12.95,13.13,418700
44,1997/3/11,13.19,13.6,13,13.55,1776000
45,1997/3/12,13.8,13.96,13.6,13.75,1514500
46,1997/3/13,13.83,13.9,13.18,13.51,801300
47,1997/3/14,13.56,13.7,13.3,13.67,585600
48,1997/3/17,13.75,13.91,13.3,13.62,994100
49,1997/3/18,13.62,14.38,13.2,14.38,1127500
50,1997/3/19,14.4,14.89,14.06,14.58,1909500
51,1997/3/20,14.6,14.7,13.8,13.86,1126800
52,1997/3/21,13.6,14.5,13.5,14.4,1032800
53,1997/3/24,14.58,14.68,14.15,14.22,869100
54,1997/3/25,14.3,14.6,13.85,14.1,698400
55,1997/3/26,14.2,14.6,14,14.39,837700
56,1997/3/27,14.4,14.41,14,14.14,631700
57,1997/3/28,14,14.58,13.9,14.33,893100
58,1997/3/31,14,14.65,14,14.45,599700
59,1997/4/1,14.52,14.66,14.22,14.51,724000
60,1997/4/2,14.63,14.63,14.39,14.39,470500
61,1997/4/3,14.15,15.31,14.15,15.1,1318100
62,1997/4/4,15.23,15.3,14.61,14.65,686400
63,1997/4/7,14.48,14.8,14.45,14.64,670500
64,1997/4/8,14.6,14.65,14.35,14.4,884000
65,1997/4/9,14.5,15.25,14.5,15.04,1053400
66,1997/4/10,15,15.55,14.91,14.98,913500
67,1997/4/11,14.9,15.2,14.6,14.65,589600
68,1997/4/14,13.5,14.6,13.5,14.57,1550900
69,1997/4/15,14.6,14.86,14.45,14.7,1182000
70,1997/4/16,14.8,15.16,14.6,14.99,1016500
71,1997/4/17,14.99,15.45,14.82,15.4,901900
72,1997/4/18,15.3,16.05,15.3,15.68,1212200
73,1997/4/21,15.8,16.65,15.8,16.65,1108900
74,1997/4/22,16.6,17.11,16.22,16.99,740000
75,1997/4/23,16.98,17.39,16.35,17.09,776400
76,1997/4/24,16.6,17.04,16.5,16.83,621000
77,1997/4/25,16,17.5,16,16.84,681000
78,1997/4/28,16.99,17.28,16.78,16.96,677200
79,1997/4/29,16.96,17,16.5,16.6,304100
80,1997/4/30,17.28,17.28,16,16.9,928300
81,1997/5/5,16.6,17.2,16.6,16.96,679400
82,1997/5/6,16.95,17.7,16.89,17.5,945200
83,1997/5/7,17.9,18.27,17.21,18.21,893300
84,1997/5/8,18.4,18.4,16.8,16.8,542700
85,1997/5/9,16.8,17.97,16.1,17.93,669700
